step,rank,is_low_rank
0,363,False
1,399,False
2,393,False
3,379,False
4,407,False
5,365,False
6,396,False
7,406,False
8,396,False
9,325,True
10,391,False
11,390,False
12,373,False
13,338,True
14,380,False
15,412,False
16,314,True
17,366,False
18,394,False
19,381,False
20,378,False
21,329,True
22,381,False
23,355,True
24,374,False
25,369,False
26,326,True
27,338,True
28,353,True
29,396,False
30,342,True
31,353,True
32,376,False
33,349,True
34,365,False
35,369,False
36,357,True
37,370,False
38,370,False
39,368,False
40,399,False
41,376,False
42,315,True
43,332,True
44,371,False
45,349,True
46,371,False
47,397,False
48,378,False
49,410,False
50,325,True
51,419,False
52,363,False
53,392,False
54,384,False
55,386,False
56,362,False
57,366,False
58,348,True
59,378,False
60,365,False
61,365,False
62,399,False
63,370,False
64,377,False
65,342,True
66,366,False
67,401,False
68,426,False
69,317,True
70,369,False
71,376,False
72,332,True
73,369,False
74,357,True
75,374,False
76,409,False
77,394,False
78,363,False
79,362,False
80,348,True
81,294,True
82,287,True
83,365,False
84,397,False
85,352,True
86,396,False
87,392,False
88,383,False
89,372,False
90,363,False
91,371,False
92,355,True
93,436,False
94,364,False
95,339,True
96,365,False
97,370,False
98,354,True
99,377,False
100,384,False
101,331,True
102,383,False
103,368,False
104,369,False
105,390,False
106,341,True
107,397,False
108,328,True
109,357,True
110,373,False
111,329,True
112,384,False
113,381,False
114,408,False
115,344,True
116,364,False
117,360,False
118,394,False
119,407,False
120,368,False
121,348,True
122,324,True
123,382,False
124,372,False
125,375,False
126,316,True
127,378,False
128,394,False
129,313,True
130,354,True
131,378,False
132,359,False
133,370,False
134,386,False
135,360,False
136,378,False
137,367,False
138,390,False
139,362,False
140,412,False
141,404,False
142,393,False
143,352,True
144,393,False
145,418,False
146,396,False
147,359,False
148,397,False
149,370,False
150,323,True
151,415,False
152,416,False
153,350,True
154,343,True
155,385,False
156,394,False
157,348,True
158,358,True
159,380,False
160,405,False
161,413,False
162,333,True
163,363,False
164,419,False
165,386,False
166,321,True
167,374,False
168,371,False
169,389,False
170,395,False
171,326,True
172,365,False
173,353,True
174,387,False
175,365,False
176,372,False
177,362,False
178,368,False
179,368,False
180,384,False
181,371,False
182,346,True
183,392,False
184,382,False
185,356,True
186,370,False
187,472,False
188,377,False
189,374,False
190,426,False
191,341,True
192,360,False
193,364,False
194,460,False
195,399,False
196,393,False
197,369,False
198,379,False
199,399,False
200,407,False
201,345,True
202,426,False
203,431,False
204,397,False
205,311,True
206,345,True
207,370,False
208,415,False
209,370,False
210,295,True
211,407,False
212,426,False
213,452,False
214,419,False
215,423,False
216,375,False
217,415,False
218,335,True
219,403,False
220,393,False
221,364,False
222,380,False
223,412,False
224,441,False
225,389,False
226,432,False
227,337,True
228,398,False
229,372,False
230,406,False
231,388,False
232,412,False
233,456,False
234,323,True
235,467,False
236,379,False
237,476,False
238,343,True
239,414,False
240,435,False
241,422,False
242,429,False
243,407,False
244,436,False
245,456,False
246,367,False
247,440,False
248,406,False
249,345,True
250,401,False
251,384,False
252,396,False
253,418,False
254,387,False
255,433,False
256,369,False
257,369,False
258,445,False
259,420,False
260,443,False
261,431,False
262,411,False
263,408,False
264,352,True
265,445,False
266,485,False
267,423,False
268,464,False
269,464,False
270,478,False
271,393,False
272,487,False
273,441,False
274,444,False
275,411,False
276,463,False
277,388,False
278,414,False
279,449,False
280,350,True
281,389,False
282,427,False
283,415,False
284,473,False
285,446,False
286,440,False
287,401,False
288,447,False
289,458,False
290,418,False
291,437,False
292,476,False
293,484,False
294,364,False
295,346,True
296,486,False
297,390,False
298,493,False
299,455,False
300,428,False
301,432,False
302,475,False
303,431,False
304,441,False
305,380,False
306,467,False
307,486,False
308,501,False
309,388,False
310,420,False
311,466,False
312,495,False
313,458,False
314,482,False
315,421,False
316,493,False
317,436,False
318,458,False
319,456,False
320,468,False
321,477,False
322,467,False
323,463,False
324,415,False
325,436,False
326,489,False
327,422,False
328,398,False
329,454,False
330,496,False
331,441,False
332,451,False
333,464,False
334,381,False
335,435,False
336,415,False
337,460,False
338,484,False
339,492,False
340,476,False
341,491,False
342,476,False
343,467,False
344,456,False
345,464,False
346,469,False
347,502,False
348,470,False
349,476,False
350,467,False
351,463,False
352,485,False
353,436,False
354,440,False
355,475,False
356,405,False
357,450,False
358,456,False
359,410,False
360,428,False
361,472,False
362,479,False
363,468,False
364,432,False
365,501,False
366,499,False
367,490,False
368,442,False
369,478,False
370,378,False
371,506,False
372,460,False
373,450,False
374,430,False
375,470,False
376,490,False
377,501,False
378,491,False
379,393,False
380,463,False
381,500,False
382,373,False
383,499,False
384,501,False
385,457,False
386,442,False
387,488,False
388,448,False
389,494,False
390,488,False
391,481,False
392,492,False
393,452,False
394,476,False
395,506,False
396,492,False
397,493,False
398,479,False
399,460,False
400,484,False
401,421,False
402,422,False
403,406,False
404,485,False
405,469,False
406,477,False
407,482,False
408,468,False
409,504,False
410,477,False
411,474,False
412,492,False
413,494,False
414,463,False
415,497,False
416,483,False
417,485,False
418,500,False
419,477,False
420,465,False
421,374,False
422,484,False
423,477,False
424,405,False
425,487,False
426,463,False
427,456,False
428,464,False
429,400,False
430,421,False
431,498,False
432,485,False
433,478,False
434,490,False
435,503,False
436,468,False
437,438,False
438,505,False
439,505,False
440,467,False
441,454,False
442,430,False
443,448,False
444,486,False
445,492,False
446,507,False
447,462,False
448,487,False
449,489,False
450,475,False
451,503,False
452,497,False
453,438,False
454,481,False
455,489,False
456,481,False
457,481,False
458,460,False
459,504,False
460,463,False
461,458,False
462,470,False
463,501,False
464,490,False
465,453,False
466,504,False
467,487,False
468,447,False
469,415,False
470,496,False
471,500,False
472,504,False
473,463,False
474,489,False
475,485,False
476,416,False
477,486,False
478,487,False
479,482,False
480,498,False
481,487,False
482,494,False
483,483,False
484,463,False
485,465,False
486,501,False
487,472,False
488,496,False
489,502,False
490,502,False
491,442,False
492,498,False
493,461,False
494,492,False
495,495,False
496,501,False
497,504,False
498,399,False
499,462,False
500,475,False
501,496,False
502,498,False
503,487,False
504,459,False
505,506,False
506,493,False
507,494,False
508,496,False
509,462,False
510,502,False
511,477,False
512,434,False
513,438,False
514,419,False
515,484,False
516,488,False
517,483,False
518,481,False
519,502,False
520,490,False
521,438,False
522,461,False
523,418,False
524,490,False
525,473,False
526,493,False
527,452,False
528,466,False
529,500,False
530,455,False
531,476,False
532,471,False
533,480,False
534,495,False
535,485,False
536,497,False
537,477,False
538,505,False
539,438,False
540,501,False
541,442,False
542,469,False
543,479,False
544,489,False
545,495,False
546,482,False
547,483,False
548,453,False
549,467,False
550,452,False
551,496,False
552,488,False
553,477,False
554,483,False
555,477,False
556,462,False
557,499,False
558,476,False
559,447,False
560,486,False
561,488,False
562,489,False
563,472,False
564,487,False
565,471,False
566,481,False
567,464,False
568,453,False
569,502,False
570,455,False
571,492,False
572,501,False
573,502,False
574,401,False
575,492,False
576,496,False
577,485,False
578,473,False
579,454,False
580,447,False
581,414,False
582,502,False
583,470,False
584,411,False
585,463,False
586,492,False
587,491,False
588,471,False
589,502,False
590,357,True
591,492,False
592,487,False
593,413,False
594,487,False
595,476,False
596,473,False
597,499,False
598,489,False
599,499,False
600,485,False
601,494,False
602,431,False
603,421,False
604,506,False
605,504,False
606,447,False
607,496,False
608,457,False
609,450,False
610,501,False
611,498,False
612,497,False
613,488,False
614,507,False
615,505,False
616,499,False
617,498,False
618,437,False
619,500,False
620,417,False
621,498,False
622,506,False
623,447,False
624,486,False
